CAT,CAT NAME (PT),F/R,L/R,U/L,I/O,MODEL,MDL NO,CROSS,CAR,MODEL,ANO DE I.,ANO FI.,TRSS,FRAME,ENGINE,SIZE,REMARK,PART NO.
ALTB,ROLAMENTO DE ALTERNADOR,,,,,UNIV,,,UNIVERSAL,,,,,,,35x80x21,,ALTB300L0
ALTB,ROLAMENTO DE ALTERNADOR,,,,,UNIV,,,UNIVERSAL,,,,,,,10×30×9,,ALTB300L01
ALTB,ROLAMENTO DE ALTERNADOR,,,,,UNIV,,,UNIVERSAL,,,,,,,17×40×12,,ALTB300L02
ALTB,ROLAMENTO DE ALTERNADOR,,,,,UNIV,,,UNIVERSAL,,,,,,,25×52×15,,ALTB300L04
ALTB,ROLAMENTO DE ALTERNADOR,,,,,UNIV,,,UNIVERSAL,,,,,,,25x62x17,,ALTB300L05
ALTB,ROLAMENTO DE ALTERNADOR,,,,,UNIV,,,UNIVERSAL,,,,,,,30x72x19,,ALTB300L06
ALTB,ROLAMENTO DE ALTERNADOR,,,,,UNIV,,,UNIVERSAL,,,,,,,12x32x10,,ALTB300L08
ALTB,ROLAMENTO DE ALTERNADOR,,,,,UNIV,,,UNIVERSAL,,,,,,,15x42x13,,ALTB300L21
ALTB,ROLAMENTO DE ALTERNADOR,,,,, ,,,ISUZU,KB,2004,2012,,,,20x52x15,,ALTB490L0
ALTB,ROLAMENTO DE ALTERNADOR,,,,,PAJ01,,,MITSUBISHI,PAJERO,2001,2006,,,,35×72×17,,ALTB516L0
BDRUM,POLIA,,LR,,,068M,,,TOYOTA,DYNA ,1995,1999,,LY230,,,,BDRUM068M234
BDRUM,POLIA,,LR,,,085M,,,TOYOTA,HIACE,1992,2004,,LH107,,,,BDRUM085M234
BDRUM,POLIA,,LR,,,126M,,,TOYOTA,NOAH ,1998,2001,,SR40,,,,BDRUM126M234
BDRUM,POLIA,,LR,,,145V,,,TOYOTA,PRADO,2002,2009,,KZJ95,,,,BDRUM145V234
BDRUM,POLIA,,LR,,,155L,,,TOYOTA,QUANTUM,2004,2020,,KDH200,,,,BDRUM155L234
BDRUM,POLIA,,LR,,,161L,,,TOYOTA,RACTIS,2005,2010,,NCP100,,,,BDRUM161L234
BDRUM,POLIA,,LR,,,170V,,,TOYOTA,RAV4,2006,2012,,ACA33,,,,BDRUM170V234
BDRUM,POLIA,,LR,,,177U,,,TOYOTA,HILUX ,2016,2024,,GUN125,,,,BDRUM177U234
BDRUM,POLIA,,LR,,,221M,,,TOYOTA,VITZ,1999,2005,,SCP10,,,,BDRUM221M234
BDRUM,POLIA,,LR,,,349V,,,NISSAN,QASHQAI,2006,2013,,DBA-J10,,,,BDRUM349V234
